Stock Code,Name of Securities
00096,YUSEI
00097,HENDERSON INV
00098,XINGFA ALUM
00099,WONG'S INT'L
00100,CLEAR MEDIA
00101,HANG LUNG PPT
00102,SUMMIT ASCENT
00103,SHOUGANG CENT
00104,ASIA COMM HOLD
00105,ASSO INT HOTELS
00106,LANDSEA PPT
00107,SICHUAN EXPRESS
00108,GR PROPERTIES
00109,GOODRESOURCES
00110,CHINA FORTUNE
00111,CINDA INTL HLDG
00112,LT COMM REALEST
00113,DICKSON CONCEPT
00114,HERALD HOLD
00115,GRAND FIELD GP
00116,CHOW SANG SANG
00117,TIANLI HOLDINGS
00118,COSMOS MACH
00119,POLY PROPERTY
00120,COSMOPOL INT'L
00121,C.P. LOTUS
00122,CROCODILE
00123,YUEXIU PROPERTY
00124,GD LAND
00125,SUN HING VISION
00126,CARRIANNA
00127,CHINESE EST H
00128,ENM HOLDINGS
00129,ASIA STANDARD
00130,MOISELLE INT'L
00131,CHEUK NANG HOLD
00132,CHINA INV HOLD
00133,CHINA MERCHANTS
00135,KUNLUN ENERGY
00136,HENGTEN NET
00137,JINHUI HOLDINGS
00138,CCT FORTIS
00139,CH SOFT POWER
00141,GREAT CHINA
00142,FIRST PACIFIC
00143,GUOAN INTL
00144,CHINA MER PORT
00145,HK BLDG & LOAN
00146,TAI PING CARPET
00147,IB SETTLEMENT
00148,KINGBOARD CHEM
00149,CH AGRI-PROD EX
00151,WANT WANT CHINA
00152,SHENZHEN INT'L
00153,CHINA SAITE
00154,BE ENVIRONMENT
00155,CHINA SOLAR
00156,LIPPO CHINA RES
00157,NATURAL BEAUTY
00158,MELBOURNE ENT
00159,BROCKMAN MINING
00160,HON KWOK LAND
00161,AVIC IHL
00162,CENTURY GINWA
00163,EMPEROR INT'L
00164,CHINA BAOLI TEC
00165,CHINA EB LTD
00166,NEWTIMES ENERGY
00167,IDT INT'L
00168,TSINGTAO BREW
00169,WANDA HOTEL DEV
00171,SILVER GRANT
00172,GOLDBOND GROUP
00173,K. WAH INT'L
00174,GEMINI INV
00175,GEELY AUTO
00176,SUPERACTIVE GP
00177,JIANGSU EXPRESS
00178,SA SA INT'L
00179,JOHNSON ELEC H
00180,KADER HOLDINGS
00181,FUJIAN HOLDINGS
00182,CONCORD NE
00183,WINFULL GP
00184,KECK SENG INV
00185,ZH INT'L HOLD
00186,GRANDE HOLDINGS
00187,JINGCHENG MAC
00188,SUNWAH KINGSWAY
00189,DONGYUE GROUP
00190,HKC (HOLDINGS)
00191,LAI SUN INT'L
00193,CAPITAL ESTATE
00194,LIU CHONG HING
00195,GREENTECH INTL
00196,HONGHUA GROUP
00197,HENG TAI
00198,SMI HOLDINGS
00199,ITC PROPERTIES
00200,MELCO INT'L DEV
00201,MAGNIFICENT
00202,EVERCHINA INT'L
00204,CHINA INV DEV
00205,SEEC MEDIA
00206,TSC GROUP
00207,JOY CITY PPT
00208,POLYTEC ASSET
00209,WINSHINE SCI
00210,DAPHNE INT'L
00211,STYLAND HOLD
00212,NANYANG HOLD
00213,NATIONAL ELEC H
00214,ASIA ORIENT
00215,HUTCHTEL HK
00216,CHINNEY INV
00217,CHINA CHENGTONG
00218,SHENWANHONGYUAN
00219,SHUNHO PROPERTY
00220,U-PRESID CHINA
00221,EASY ONE FIN
00222,MIN XIN HOLD
00223,ELIFE HLDGS
00224,PIONEER GLOBAL
00225,POKFULAM
00226,LIPPO
00227,FIRST SHANGHAI
00228,CHINA ENERGY
00229,RAYMOND IND
00230,MINMETALS LAND
00231,PING AN SEC GP
00232,AVIC INT'L
00233,MY MEDICARE
00234,NEW CENTURY GP
00235,CHINA STRATEGIC
00236,SAN MIGUEL HK
00237,SAFETY GODOWN
00238,EVERGREEN INT
00239,PAK FAH YEOW
00240,BUILD KING HOLD
00241,ALI HEALTH
00242,SHUN TAK HOLD
00243,QPL INT'L
00244,SINCERE
00245,CN MINSHENG FIN
00246,REALGOLD MINING
00247,TST PROPERTIES
00248,HKC INT'L HOLD
00250,SINO-I TECH
00251,SEA HOLDINGS
00252,SE ASIA PPT
00253,SHUNHO HOLDINGS
00254,NUR HOLDINGS
00255,LUNG KEE
00256,CITYCHAMP
00257,CHINA EB INT'L
00258,TOMSON GROUP
00259,YEEBO (INT'L H)
00260,AVIC JOY HLDG
00261,CCT LAND
00262,DESON DEV INT'L
00263,GT GROUP HLDG
00264,ASCENT INT'L
00265,ORIENT VICTORY
00266,TIAN TECK LAND
00267,CITIC
00268,KINGDEE INT'L
00269,CRTG
00270,GUANGDONG INV
00271,ASIASEC PPT
00272,SHUI ON LAND
00273,MASON GP HOLD
00274,C BILLION RES
00275,MASTER GLORY GP
00276,MONGOLIA ENERGY
00277,TERN PROPERTIES
00278,WAH HA REALTY
00279,FREEMAN FINTECH
00280,KING FOOK HOLD
00281,RIVERA (HOLD)
00282,NEXT DIGITAL
00285,BYD ELECTRONIC
00286,CS HEALTH
00287,WINFAIR INV
00288,WH GROUP
00289,WING ON CO
00290,C FORTUNE FIN
00291,CHINA RES BEER
00292,ASIA STD HOTEL
00293,CATHAY PAC AIR
00294,YANGTZEKIANG
00295,KONG SUN HOLD
00296,EMPEROR E HOTEL
00297,SINOFERT
00298,CHUANG'S CHINA
00299,NEW SPORTS
00300,KUNMING MACHINE
00303,VTECH HOLDINGS
00305,WULING MOTORS
00306,KWOON CHUNG BUS
00307,UP ENERGY DEV
00308,CHINA TRAVEL HK
00309,XH NEWS MEDIA
00310,PROSP INV HOLD
00311,LUEN THAI
00312,SHIRBLE STORE
00313,RICHLY FIELD
00315,SMARTONE TELE
00316,OOIL
00317,COMEC
00318,VONGROUP
00320,COMPUTIME
00321,TEXWINCA HOLD
00322,TINGYI
00323,MAANSHAN IRON
00326,CHINA STAR ENT
00327,PAX GLOBAL
00328,ALCO HOLDINGS
00329,OCI INTL
00330,ESPRIT HOLDINGS
00331,FSE ENGINEERING
00332,YUANHENG GAS
00333,TOP FORM INT'L
00334,CH DISPLAY OPT
00335,UPBEST GROUP
00336,HUABAO INTL
00337,GREENLAND HK
00338,SHANGHAI PECHEM
00339,EARNEST INV
00340,CHINA MINING
00341,CAFE DE CORAL H
00342,NEWOCEAN ENERGY
00343,CULTURECOM HOLD
00345,VITASOY INT'L
00346,YANCHANG PETRO
00347,ANGANG STEEL
00348,CHINAHEALTHWISE
00351,ASIA ENERGY LOG
00352,FORTUNE SUN
00353,ENERGY INTINV
00354,CHINASOFT INT'L
00355,CENTURY C INT'L
00356,DT CAPITAL
00357,HNA INFRA
00358,JIANGXI COPPER
00359,HAISHENG JUICE
00360,NEW FOCUS AUTO
00361,SINO GOLF HOLD
00362,C ZENITH CHEM
00363,SHANGHAI IND H
00364,BLOCKCHAIN GP
00365,UNIS HOLDINGS
00366,LUKS GROUP (VN)
00367,CHUANG'S INT'L
00368,SINOTRANS SHIP
00369,WING TAI PPT
00370,CHINA BEST
00371,BJ ENT WATER
00372,PT INTL DEV
00373,ALLIED GROUP
00374,FOUR SEAS MER
00375,YGM TRADING
00376,YUNFENG FIN
00377,HUAJUN HOLD
00378,FDG KINETIC
00379,EG LEASING
00380,SOFTPOWER INT
00381,KIU HUNG INT'L
00382,WELLING HOLDING
00383,CHINA MED&HCARE
00384,CHINA GAS-200
00385,CHINNEY ALLI
00386,SINOPEC CORP
00387,LEEPORT(HOLD)
00388,HKEX
00389,TONTINE WINES
00390,CHINA RAILWAY
00391,MEI AH ENTER
00392,BEIJING ENT
00393,GLORIOUS SUN
00395,SMARTAC GP CH
00396,HING LEE (HK)
00397,JUN YANG FIN
00398,ORIENTAL WATCH
00399,INNOVATIVE PHAR
00400,COGOBUY
00401,WANJIA GROUP
00402,PEACEMAP HOLD
00403,STARLITE HOLD
00404,HSIN CHONG GP
00406,YAU LEE HOLD
00408,YIP'S CHEMICAL
00410,SOHO CHINA
00411,LAM SOON (HK)
00412,CHINA SDHS FIN
00413,SC HOLDINGS
00416,BANKOFJINZHOU
00417,TSE SUI LUEN
00418,FOUNDER HOLD
00419,HUAYI TENCENT
00420,FOUNTAIN SET
00422,VMEP HOLDINGS
00423,HKET HOLDINGS
00425,MINTH GROUP
00426,ONE MEDIA GROUP
00428,HUGE CHINA
00430,ORIENTAL EXPL
00431,G CHINA FIN
00432,PCPD
00433,NORTH MINING
00434,BOYAA
00436,NU ENVIRO
00438,IRICO NEWENERGY
00439,KUANGCHI
00440,DAH SING
00442,HIFOOD GROUP
00444,SINCEREWATCH HK
00445,CHINA FIRE
00449,CHIGO HOLDING
00450,HUNG HING PRINT
00451,GCL NEWENERGY
00455,TIANDA PHARMA
00456,NEW CITY DEV
00458,TRISTATE HOLD
00459,MIDLAND IC&I
00460,SIHUAN PHARM
00462,NATURAL DAIRY
00464,KENFORD GROUP
00465,FUTONG TECH
00467,UNITEDENERGY GP
00468,GAPACK
00469,CAPXON INT'L
00471,CMMB VISION
00472,NEW SILKROAD
00474,HAO TIAN DEV
00475,ZHONG FA ZHAN
00476,CH DYNAMICS
00479,CIL HOLDINGS
00480,HKR INT'L
00482,SANDMARTIN INTL
00483,BAUHAUS INT'L
00484,FORGAME
00485,CHINASINOSTAR
00486,RUSAL
00487,SUCCESSUNIVERSE
00488,LAI SUN DEV
00489,DONGFENG GROUP
00491,EMPEROR CULTURE
00493,GOME RETAIL
00494,LI & FUNG
00495,PALADIN
00496,KASEN
00497,CSI PROPERTIES
00498,PYI CORP
00499,QINGDAO HLDGS
00500,FRONTIER SER
00503,LANSEN PHARMA
00505,HUAN YUE INTER
00506,CHINA FOODS
00508,DINGYI GP INV
00509,SUNSHINE
00510,CASH FIN SER GP
00511,TVB
00512,CHINAGRANDPHARM
00513,CONTINENTAL H
00515,TC ORI LIGHT
00517,COSCO SHIP INTL
00518,TUNGTEX (HOLD)
00519,APPLIED DEV
00520,XIABUXIABU
00521,CWT INT'L
00522,ASM PACIFIC
00524,E-KONG GROUP
00525,GUANGSHEN RAIL
00526,LISI GP HOLD
00527,RUIFENG RENEW
00528,KINGDOM HOLDING
00529,SIS INT'L
00530,GOLDIN FIN HOLD
00531,SAMSON HOLDING
00532,WKK INTL (HOLD)
00533,GOLDLION HOLD
00535,GEMDALE PPT
00536,TRADELINK
00538,AJISEN (CHINA)
00539,VICTORY CITY
00540,SPEEDY GLOBAL
00542,CENERIC
00543,PACIFIC ONLINE
00544,DAIDO GROUP
00546,FUFENG GROUP
00547,DIGITAL DOMAIN
00548,SHENZHENEXPRESS
00550,KK CULTURE
00551,YUE YUEN IND
00552,CHINACOMSERVICE
00553,NANJING PANDA
00554,HANS ENERGY
00555,REXLOT HOLDINGS
00556,PAN ASIA ENVIRO
00557,CITY E-SOLUTION
00558,LK TECH
00559,DETAI NEWENERGY
00560,CHU KONG SHIP
00563,SH IND URBAN
00564,ZMJ
00565,ART GROUP HOLD
00566,HANERGY TFP
00567,DAISHOMICROLINE
00568,SHANDONG MOLONG
00569,CH AUTOMATION
00570,TRAD CHI MED
00571,ESUN HOLDINGS
00572,FUTURE WORLD FH
00573,TAO HEUNG HLDGS
00574,PASHUN INT'L
00575,REGENT PACIFIC
00576,ZHEJIANGEXPRESS
00577,THE 13 HOLDINGS
00578,ROSAN RES
00579,JNCEC
00580,SUN.KING ELEC
00581,CHINA ORIENTAL
00582,LANDING INTL
00583,GWPA HOLDINGS
00585,IMAGI INT'L
00586,CONCH VENTURE
00587,HUA HAN HEALTH
00588,BEIJING N STAR
00589,PORTICO INT'L
00590,LUK FOOK HOLD
00591,C HIGHPRECISION
00592,BOSSINI INT'L
00593,DREAMEAST
00595,AV CONCEPT HOLD
00596,INSPUR INT'L
00598,SINOTRANS
00599,E. BON HOLDINGS
00600,CHINA INFRA INV
00601,GROUP SENSE
00602,JIAHUA STORES H
00603,CHINA OIL & GAS
00604,SHENZHEN INVEST
00605,C FIN SERVICES
00606,CHINA AGRI
00607,FULLSHARE
00608,HIGH FASHION
00609,TIANDE CHEMICAL
00610,WAI KEE HOLD
00611,CNE TECH CORP
00612,CHINA INV FUND
00613,YUGANG INT'L
00616,EMINENCE ENT
00617,PALIBURG HOLD
00618,PKU RESOURCES
00619,SOUTH CHINA FIN
00620,DTXS SILK ROAD
00621,TAUNG GOLD
00622,ENERCHINA HOLD
00623,SINOMEDIA
00626,PUBLIC FIN HOLD
00627,U-RIGHT INT'L
00628,GOME FIN TECH
00629,YUE DA MINING
00630,AMCO UNITED
00631,SANY INT'L
00632,PEARLORIENT OIL
00633,CH ALL ACCESS
00635,PLAYMATES
00636,KERRY LOG NET
00637,LEE KEE
00638,KIN YAT HOLD
00639,SHOUGANG RES
00640,INFINITY DEV
00641,CHTC FONG'S
00643,CARRY WEALTH
00645,ARES ASIA
00646,CHINA ENV TEC
00647,JOYCE BOUTIQUE
00648,WAH YAN-NEW
00650,IDG ENERGY
00651,CHI OCEAN IND
00653,BONJOUR HOLD
00655,HK CHINESE LTD
00656,FOSUN INTL
00657,G-VISION INT'L
00658,C TRANSMISSION
00659,NWS HOLDINGS
00660,WAI CHUN MINING
00661,CDAYENONFER
00662,ASIA FINANCIAL
00663,KING STONE ENGY
00665,HAITONG INT'L
00666,SHK HK IND
00668,DOYEN INTL HOLD
00669,TECHTRONIC IND
00670,CHINA EAST AIR
00672,ZHONGAN REALEST
00673,CHINA HEALTH
00674,CHINA TANGSHANG
00675,K & P INT'L
00676,PEGASUS INT'L
00677,GOLDEN RES DEV
00678,GENTING HK
00679,ASIA TELE-NET
00680,NAN HAI CORP
00681,CHI PEOPLE HOLD
00682,CHAODA MODERN
00683,KERRY PPT
00684,ALLAN INT'L
00685,MEDIA CHINESE
00686,PANDA GREEN
00687,HKICIM GROUP
00688,CHINA OVERSEAS
00689,EPI (HOLDINGS)
00690,UNI-BIO GROUP
00691,SHANSHUI CEMENT
00692,CHINA HOUSEHOLD
00693,TAN CHONG INT'L
00694,BEIJING AIRPORT
00695,DONGWU CEMENT
00696,TRAVELSKY TECH
00697,SHOUGANG INT'L
00698,TONGDA GROUP
00699,CAR INC
00700,TENCENT
00701,CNT GROUP
00702,SINO OIL & GAS
00703,FUTURE BRIGHT
00704,HUSCOKE RES
00705,DINGHE MINING
00706,BEAUTI C HOLD
00707,CO-PROSPERITY
00708,EVERG HEALTH
00709,GIORDANO INT'L
00710,BOE VARITRONIX
00711,ASIA ALLIED INF
00712,COMTEC SOLAR
00713,WORLD HOUSEWARE
00715,CHINA OCEANWIDE
00716,SINGAMAS CONT
00717,EMPEROR CAPITAL
00718,TAI UNITED HOLD
00719,SHANDONG XINHUA
00720,AUTO ITALIA
00721,C FIN INT INV
00722,UMP
00723,SUSTAIN FOREST
00724,RUIXIN INT'L
00725,PERENNIAL INT'L
00726,CM DRAWIN TECH
00727,CROWNICORP
00728,CHINA TELECOM
00729,FDG EVEHICLES
00730,SHOUGANG GRAND
00731,SAMSON PAPER
00732,TRULY INT'L
00733,HOPEFLUENT
00735,CP CLEAN ENERGY
00736,CHINA PPT INV
00737,HOPEWELL INFR
00738,LE SAUNDA
00743,ASIA CEMENT CH
00745,CN CULTURE GP
00746,L & M CHEMICAL
00747,SHENYANG PUBLIC
00750,SINGYES SOLAR
00751,SKYWORTHDIGITAL
00752,PICO FAR EAST
00753,AIR CHINA
00754,HOPSON DEV HOLD
00755,SHANGHAI ZENDAI
00756,TIANYI SUMMI
00757,SOLARGIGA
00758,JUNEFIELD GROUP
00759,CEC INT'L HOLD
00760,TALENT PPT GP
00761,BEL GLOBAL RES
00762,CHINA UNICOM
00763,ZTE
00764,ETERNITY INV
00765,PERFECTECH INTL
00766,SINO PROSPER GP
00767,PACIFIC PLYWOOD
00768,UBA INVESTMENTS
00769,CHINA RAREEARTH
00770,SHANGHAI GROWTH
00771,AUTOMATED SYS
00772,CHINA LIT
00775,CKLIFE SCIENCES
00776,IMPERIUM GP
00777,NETDRAGON
00787,GLOBAL BRANDS
00789,PRIMEVIEW HLDG
00794,COME SURE GROUP
00798,CEOVU
00799,IGG
00800,A8 NEW MEDIA
00801,GOLDEN MEDITECH
00802,CHINA E-WALLET
00803,PROSPERITY INTL
00804,PINESTONE
00805,GLENCORE-S
00806,VALUE PARTNERS
00809,GLOBAL BIO-CHEM
00810,CH INTERNET INV
00811,XINHUA WINSHARE
00812,SWSI
00813,SHIMAO PROPERTY
00814,JINGKELONG
00815,CHI SILVER GP
00816,HUADIAN FUXIN
00817,CHINA JINMAO
00818,HI SUN TECH
00819,TIANNENG POWER
00821,VC HOLDINGS
00822,KA SHUI INT'L
00825,NWDS CHINA
00826,TIANGONG INT'L
00827,KO YO GROUP
00828,DYNASTY WINES
00829,SHENGUAN HLDGS
00830,FAR EAST GLOBAL
00831,CR ASIA
00832,CENTRAL CHINA
00833,ALLTRONICS
00834,KANGDA FOOD
00835,ASIA COAL
00836,CHINA RES POWER
00837,CARPENTER TAN
00838,EVA HOLDINGS
00839,CHINA EDU GROUP
00840,TIANYE WATER
00841,CASSAVA RES
00842,LEOCH INT'L
00844,GREATIME INTL
00845,GLORIOUS PPT H
00846,MINGFA GROUP
00847,KAZ MINERALS-S
00848,MAOYE INT'L
00850,TOURONG CHANGFU
00851,SHENG YUAN HLDG
00852,STRONG PETRO
00853,MICROPORT
00854,WILLAS-ARRAY
00855,CHINA WATER
00856,VSTECS
00857,PETROCHINA
00858,EXTRAWELL PHAR
00859,HENRY GROUP
00860,O LUXE HOLD
00861,DC HOLDINGS
00862,VISION VALUES
00863,BRANDINGCHINA
00864,WING LEE PPT
00865,JIANDE INT'L
00866,CHINA QINFA
00867,CMS
00868,XINYI GLASS
00869,PLAYMATES TOYS
00871,CH DREDG ENV
00872,TUS INTL
00873,C TAIFENG BED
00874,BAIYUNSHAN PH
00875,CHINA FIN INV
00876,MEGA MEDICAL
00877,O-NET TECH GP
00878,SOUNDWILL HOLD
00880,SJM HOLDINGS
00881,ZHONGSHENG HLDG
00882,TIANJIN DEV
00883,CNOOC
00884,CIFI HOLD GP
00885,RENTIAN TECH
00886,SILVER BASE
00887,EMPEROR WATCH&J
00888,ROADSHOW
00889,DATRONIX HOLD
00891,TRINITY
00893,CHINAVTM MINING
00894,MAN YUE TECH
00895,DONGJIANG ENV
00896,HANISON
00897,WAI YUEN TONG
00898,MULTIFIELD INTL
00899,ASIA RESOURCES
00900,AEON CREDIT
00901,EAGLERIDE INV
00902,HUANENG POWER
00903,TPV TECHNOLOGY
00904,CHINA GREEN
00905,GLOBAL M CAP
00906,COFCO PACKAGING
00907,ELEGANCEOPTICAL
00908,ZHUHAI H INV
00909,ZHONGDA INT'L
00910,CHINA SANDI
00911,QIANHAI HEALTH
00912,SUGA INT'L
00913,UNITY INV HOLD
00914,CONCH CEMENT
00915,DAOHE GLOBAL
00916,CHINA LONGYUAN
00918,STATE EN ASSETS
00919,MODERN BEAUTY
00921,HISENSE KELON
00922,ANXIANYUAN CH
00923,IWS
00925,BJ PROPERTIES
00926,BESUNYEN
00927,FUJIKON IND
00928,LIFE HEALTHCARE
00929,IPE GROUP
00931,CHINA LNG
00932,RM GROUP-NEW
00933,BRIGHTOIL
00934,SINOPEC KANTONS
00935,DRAGON CROWN
00936,EAGLE LEGEND
00938,MAN SANG INT'L
00939,CCB
00940,C ANIMAL HEALTH
00941,CHINA MOBILE
00943,EFORCE HOLDINGS
00945,MANULIFE-S
00947,MOBI DEV
00948,Z-OBEE
00950,LEE'S PHARM
00951,CHAOWEI POWER
00952,OCEANWIDE FIN
00953,SHAW BROTHERS
00954,CHANGMAO BIO
00956,CHINA SUNTIEN
00958,HN RENEWABLES
00959,AMAX INT HOLD
00960,LONGFOR PPT
00966,CHINA TAIPING
00967,SOUND GLOBAL
00968,XINYI SOLAR
00969,HUA LIEN INT'L
00970,SPARKLE ROLL
00973,L'OCCITANE
00974,SKL
00975,MONGOL MINING
00976,CHIHO ENV
00978,CHI MER LAND
00979,GREEN ENERGY GP
00980,LIANHUA
00981,SMIC
00982,HJ CAPITAL INTL
00983,SOCAM DEV
00984,AEON STORES
00985,CST GROUP
00986,CH ENV ENERGY
00987,CH RENEW EN INV
00988,LOUDONG GN RES
00989,GROUND INTL DEV
00990,THEME INT'L
00991,DATANG POWER
00992,LENOVO GROUP
00993,HUARONG INT FIN
00994,WIN WIN WAY
00995,ANHUIEXPRESSWAY
00996,CARNIVAL GROUP
00997,CHINLINK INTL
00998,CITIC BANK
00999,I.T
01000,BEIJING MEDIA
01001,HK SH ALLIANCE
01002,V.S. INT'L
01003,HUANXI MEDIA
01004,C SMARTERENERGY
01005,MATRIX HOLDINGS
01006,CHANGSHOUHUA
01007,DAQING DAIRY
01008,BRILLIANT CIR
01009,INT'L ENT
01010,PACRAY INT'L
01011,NT PHARMA
01013,WAI CHUN GROUP
01019,CONVOY
01020,CYBERNAUT INT'L
01021,MIDAS HLDGS-S
01022,FEIYU
01023,SITOY GROUP
01026,UNIVERSAL TECH
01027,CHINA JICHENG
01028,C.BANNER
01029,IRC
01030,FUTURE LAND
01031,KINGSTON FIN
01033,SINOPEC SSC
01035,BBI LIFE SCI
01036,VANKE PPT OVS
01037,MAXNERVA TECH
01038,CKI HOLDINGS
01039,FORTUNET E-COMM
01041,LAMTEX HLDGS
01043,COSLIGHT TECH
01044,HENGAN INT'L
01045,APT SATELLITE
01046,UNI INTL FIN
01047,NGAI HING HONG
01048,YORKSHINE HLDGS
01049,CELESTIAL ASIA
01050,KARRIE INT'L
01051,G-RESOURCES
01052,YUEXIUTRANSPORT
01053,CHONGQING IRON
01055,CHINA SOUTH AIR
01057,ZHEJIANG SHIBAO
01058,GUANGDONG TANN
01059,KANTONE HOLDING
01060,ALI PICTURES
01061,ESSEX BIO-TECH
01062,CDB INT'L INV
01063,SUNCORP TECH
01064,ZHONG HUA INT'L
01065,TIANJIN CAPITAL
01066,WEIGAO GROUP
01068,YURUN FOOD
01069,CA LOW-CARBON
01070,TCL MULTIMEDIA
01071,HUADIAN POWER
01072,DONGFANG ELEC
01073,CHINA AGROTECH
01075,CAPINFO
01076,IMPERIAL PAC
01079,PINE TECH
01080,SHENGLI PIPE
01082,HK EDU INTL
01083,TOWNGAS CHINA
01085,HXTL
01086,GOODBABY INTL
01087,INVESTECH HLDGS
01088,CHINA SHENHUA
01089,LEYOU TECH H
01090,DA MING INT'L
01091,CITIC DAMENG
01093,CSPC PHARMA
01094,C P PROCUREMENT
01096,SINO ENERGY INT
01097,I-CABLE COMM
01098,ROAD KING INFRA
01099,SINOPHARM
01100,MAINLAND HOLD
01101,HUARONG ENERGY
01102,ENVIRO ENERGY
01103,DASHENG AGR FIN
01104,APAC RESOURCES
01105,SING TAO
01106,SINO HAIJING
01107,MODERN LAND
01108,LUOYANG GLASS
01109,CHINA RES LAND
01110,KINGWORLD
01111,CHONG HING BANK
01112,H&H INTL HLDG
01113,CK ASSET
01114,BRILLIANCE CHI
01115,TIBET WATER
01116,MAYER HOLDINGS
01117,CH MODERN D
01118,GOLIK HOLDINGS
01120,ARTS OPTICAL
01121,BAOFENGMODERN
01122,QINGLING MOTORS
01123,CHINA-HK PHOTO
01124,COASTAL GL
01125,LAI FUNG HOLD
01126,DREAM INT'L
01127,LION ROCK GROUP
01128,WYNN MACAU
01129,WATER INDUSTRY
01130,CHINA ENV RES
01131,AGRITRADE RES
01132,ORANGE SKY G H
01133,HARBIN ELECTRIC
01135,ASIA SATELLITE
01137,HKTV
01138,COSCO SHIP ENGY
01139,VICTORY GROUP
01140,OP FIN INV
01141,CMBC CAPITAL
01142,SIBERIAN MINING
01143,CH HCARE ENT
01145,COURAGE INV
01146,CH OUTFITTERS
01148,POWER XINCHEN
01149,ANXIN-CHINA
01150,MILAN STATION
01151,ELEC & ELTEK
01152,INFINITY FIN
01155,CENTRON TELECOM
01157,ZOOMLION
01159,STARLIGHT CUL
01160,GRAND INV INTL
01161,WATER OASIS GP
01164,CGN MINING
01165,SFCE
01166,SOLARTECH INT'L
01168,SINOLINK HOLD
01169,HAIER ELEC
01170,KINGMAKER
01171,YANZHOU COAL
01172,MIDAS INT'L
01173,VEEKO INT'L
01174,PACIFIC ANDES
01175,FRESH EXP
01176,ZHUGUANG HOLD
01177,SINO BIOPHARM
01178,SHARE ECON GP
01180,PARADISE ENT
01181,TANG PALACE
01182,SUCCESS DRAGON
01184,S.A.S. DRAGON
01185,CHINA ENERGINE
01186,CHINA RAIL CONS
01187,HAN TANG INTL
01188,HYBRID KINETIC
01189,ROSEDALE HOTEL
01190,BOLINA
01191,CHINA GEM HLDGS
01192,TITAN PETROCHEM
01193,CHINA RES GAS
01194,MUNSUN CAPITAL
01195,KINGWELL GROUP
01196,REALORD GROUP
01197,CHINA HENGSHI
01198,ROYALE FURN
01199,COSCO SHIP PORT
01200,MIDLAND HOLDING
01201,TESSON HOLDINGS
01202,CHENGDU PUTIAN
01203,GUANGNAN (HOLD)
01205,CITIC RESOURCES
01206,TECHNOVATOR
01207,SRE GROUP
01208,MMG
01210,CHRISTINE
01211,BYD COMPANY
01212,LIFESTYLE INT'L
01213,MOBICON GROUP
01215,KAI YUAN HLDGS
01216,ZYBANK
01217,CH INNOVATION
01218,EASYKNIT INT'L
01219,TENWOW INT'L
01220,ZHIDAO INT'L
01221,SINO HOTELS
01222,WANG ON GROUP
01223,SYMPHONY HOLD
01224,C C LAND
01225,LERADO FIN
01226,CH INV FIN GP
